Documento,Titolo programma,Titolo sequenza/servizio,Canale Trasmissione,Data Trasmissione,Durata,Contenuto Audio,Contenuto Video,ID Notice,Note,Time Start,Time Stop
8,Tg1 edizione 13 30,Scontro in FI,RAI UNO,2015-05-04 00:00:00,00:01:09:00,Tensioni nel partito Forza Italia (FI) anche in relazione alle candidature alla presidenza della regione Puglia per le elezioni regionali previste per il 31 maggio 2015.,"Grimaldi lancia servizio. 5 aprile 2015. Olbia, Sardegna, Italia, veduta aerea di Villa Certosa, residenza estiva del presidente del partito Forza Italia (FI) Silvio Berlusconi ; dettaglio articolo di giornale con dichiarazioni di Berlusconi. Repertorio, Berlusconi cammina in strada insieme alla compagna Francesca Pascale; europarlamentare di FI Raffaele Fitto parla al telefono seduto dietro scrivania e parla in piedi da un palco con accanto candidato alla presidenza della regione Puglia Francesco Schittulli.",T15095/105,,,
2,Tg1 edizione 13 30,Attesa per il QE,RAI UNO,2015-08-03 00:00:00,00:01:28:00,"Attesa per il piano finanziario di acquisti di titoli di Stato da parte della Banca Centrale Europea (BCE), detto quantitative easing (QE) per rilanciare l' economia dell' Eurozona che partirà il 10 marzo 2015; effetti dell' operazione sui mercati finanziari.","Anzaldo lancia servizio. Repertorio: fasi conio di monete Euro; dettagli mani che contano banconote Euro; persone effettuano acquisti in un mercato, camminano in strada. Francoforte, Germania, esterni sede della Banca Centrale Europea (BCE). Cartelli grafici inerenti gli effetti politici, economici e valutari del quantitative easing (QE).",T15067/105,,,
6,Tg1 edizione 13 30,Renzi a Coverciano,RAI UNO,2016-05-06 00:00:00,00:01:53:22,Visita del presidente del Consiglio Matteo Renzi nel ritiro della nazionale italiana di calcio a Coverciano. Probabili formazioni che saranno schierate dal Commissario Tecnico Antonio Conte durante le partite dei Campionati Europei di Calcio 2016.,"Nalesso lancia servizio. 5 giugno 2016. Coverciano, Firenze, Toscana, Italia. Fotografie del presidente del Consiglio Matteo Renzi con Commissario Tecnico Italia Antonio Conte. Momenti allenamento calcio Italia. Intervista a calciatore Zaza. Repertorio. Fasi partite calcio Italia.",T16157/105,,,
10,Tg1 edizione 13 30,Dibattito tra le forze politiche di centrodestra,RAI UNO,2017-05-03 00:00:00,00:01:44:24,"Dichiarazioni del presidente del partito Forza Italia (FI) Silvio Berlusconi in merito alla mozione di sfiducia presentata in parlamento dal Movimento Cinque Stelle (M5S) contro il ministro per lo Sport, Luca Lotti. Discussione sulle possibili alleanze tra le forze politiche di centrodestra.","Soave lancia servizio. 5 marzo 2017. Italia. Intervista a senatore del gruppo parlamentare Area Popolare (Ncd-Centristi per l'Europa), Casini. Dettaglio articoli di giornale. Repertorio. Presidente partito Forza Italia (FI) Silvio Berlusconi cammina in esterni, tiene discorso su palco con segretario federale movimento Lega Nord Matteo Salvini e presidente del movimento Fratelli d’ Italia – Alleanza Nazionale (FdI AN) Giorgia Meloni.",T17064/105,,,
4,Tg1 edizione 13 30,"Liste europee, ultimi giorni",RAI UNO,13/04/2014,00:01:34:20,"Ultimi giorni per la composizione delle liste elettorali per le elezioni europee del 25 maggio 2014, il rinnovamento deciso dal segretario Partito Democratico. Il partito Forza Italia a lavoro per la realizzazione delle liste elettorali tra i malumori interni.","Zucchini lancia servizio. 13 aprile 2014. Italia, intervistati deputato Partito Democratico (PD) Fregolent e senatore partito Forza Italia (FI) Gasparri. Repertorio, conferenza stampa del presidente FI Silvio Berlusconi. Interviste separate a consigliere politico di Berlusconi Giovanni Toti e a senatore FI Paolo Bonaiuti. Arcore, Monza e Brianza, Lombardia, Italia. Esterni Villa San Martino, residenza privata di Berlusconi.",T14103/105,,,
9,Tg1 edizione 13 30,L' attacco informatico con virus Wannacry,RAI UNO,14/05/2017,00:01:40:17,"Bilancio dei disagi e dei danni economici provocati dall'attacco informatico avvenuto il 12 maggio 2017 tramite la diffusione del virus informatico ""Wannacry"" nei sistemi informatici di circa cento Paesi. Possibilità di nuovi attacchi. Alfabetizzazione Digitale Manzi.","Soave lancia servizio. Maggio 2017. L' Aia, Olanda. Esterni sede ufficio europeo di polizia (Europol). Località varie. Dettaglio pagina sito internet del blog ""Malware Tech"" dell'esperto informatico che ha individuato e bloccato temporaneamente il virus informatico ""Wannacry"". Profilo su sito informatico Twitter ""Malware tech"". Repertorio. Località varie. Interni uffici, impiegati al lavoro. Dettagli monitor di computer e cavi di alimentazione.",T17134/105,,,
13,Tg1 edizione 13 30,Aggiornamenti calcio,RAI UNO,14/05/2017,00:01:30:08,"Attesa per la partita di calcio valida per la XXXVII giornata di campionato di serie A Roma Juventus, in caso di pareggio o vittoria la Juventus si aggiudicherebbe il campionato. Risultato dell' anticipo della XXXVII serie A Atalanta Milan 1 - 1 risultato che garantisce la matematica qualificazione alla competizione Europa League all' Atalanta. Risultato della partita valida per l' anticipo della XLI giornata del campionato di Serie B Ternana Spal 2 - 1, promozione in serie A per la Spal.","Soave lancia servizio. 13 maggio 2017. Bergamo, Lombardia, Italia. Fasi partita di calcio Atalanta Milan. Terni, Umbria, Italia. Fasi partita di calcio Ternana Spal. Ferrara, Emilia Romagna, Italia. Tifosi Spal festeggiano. Repertorio anche in bianco e nero partite giocate da Spal, Juventus e Roma.",T17134/105,,,
3,Tg1 edizione 13 30,La legge di stabilità 2017,RAI UNO,14/08/2016,00:01:34:00,Provvedimenti allo studio del governo da inserire nella legge di Stabilità 2017.,"Frittella lancia servizio. Agosto 2016. Italia. Traffico scorre su strade. Persone lavorano in cantieri e industrie. Ministro delle Infrastrutture e Trasporti Graziano Delrio in esterni. Conferenza stampa congiunta del presidente del Consiglio Matteo Renzi e del ministro dell' Economia e Finanza Pier Carlo Padoan. Interviste separate a viceministro dell' Economia Enrico Morando, al ministro dello sviluppo economico Carlo Calenda e al sottosegretario agli Affari Europei Sandro Gozi. Riprese aeree spiagge. Repertorio. Incontro di Renzi con il cancelliere federale della Germania Angela Merkel e il presidente Francese Francois Hollande.",T16227/105,,,
5,Tg1 edizione 13 30,Stallo diplomatico,RAI UNO,16/03/2014,00:01:11:23,"La posizione dell'Onu in merito alla crisi in Crimea, polemiche contro le azioni militari della Russia in Crimea e rischio di sanzioni alla Russia da parte degli stati dell'Unione Europea.","16 marzo 2014. New York, USA, interni sede ONU, fasi della riunione del Consiglio di Sicurezza ONU, Intervento dell'Ambasciatrice USA all'ONU Power. Repertorio, Crimea, Ucraina, presidi militari, persone manifestano in strada sventolando bandiera russa, strade e quartieri devastati dalla guerriglia.",T14075/105,,,
14,Tg1 edizione 13 30,Le candidature alle amministrative,RAI UNO,21/02/2016,00:01:33:00,Dibattito sui candidati che saranno presentati dalle varie forze politiche alle elezioni amministrative comunali di Roma e Milano.,"Grimaldi lancia servizio. 21 febbraio 2016. Roma, Lazio, Italia. Convegno organizzato dal partito Sinistra Italia - Sinistra Ecologia Libertà (SI - SEL), videomessaggio del presidente SEL Vendola. Discorso dell' europarlamentare del gruppo Socialisti e dei Democratici al Parlamento europeo Sergio Cofferati. Intervista a segretario del movimento Possibile Giuseppe Civati. Intervista a presidente movimento Fratelli d’ Italia – Alleanza Nazionale (FdI AN) Meloni. Dettaglio messaggio pubblicato su sito informatico Facebook dal vicesegretario del Partito Democratico (PD) Lorenzo Guerini. Milano, Lombardia, Italia. Sindaco Giuliano Pisapia cammina in interni. Repertorio. Interventi del candidato sindaco di Roma del partito Forza Italia (FI) Guido Bertolaso. Presidente FI Silvio Berlusconi cammina in interni.",T16052/105,,,
